                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4317,                 3.4935,                 1.6065,                0.58107,                0.18625,                0.16728,                0.10589,                 1.4847,                 2.8581,                 1.8083,              0.0001738,              0.0001738,              0.0001738
                      2,                 1.4339,                   2.49,                 1.5707,                0.48514,                0.20457,                0.19256,                0.11877,                 1.5101,                 3.0781,                 1.8125,             0.00034567,             0.00034567,             0.00034567
                      3,                 1.4338,                  2.252,                 1.5635,                 0.4872,                0.21232,                 0.1926,                0.11042,                 1.5958,                 2.5967,                 1.8629,             0.00051408,             0.00051408,             0.00051408
                      4,                 1.4249,                 2.1164,                 1.5463,                0.61946,                0.29577,                0.29821,                0.17277,                 1.5101,                 2.2546,                 1.8361,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.3983,                 1.9611,                 1.5233,                0.66335,                0.31334,                0.31134,                0.19094,                 1.5021,                 2.3167,                 1.7793,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.3782,                 1.8602,                 1.5118,                0.67708,                0.30086,                 0.3295,                0.19914,                 1.5303,                 2.0596,                  1.825,             0.00049996,             0.00049996,             0.00049996
                      7,                  1.367,                  1.796,                 1.5053,                0.55124,                0.31772,                0.32839,                0.20407,                 1.4774,                 1.9423,                 1.7329,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.3628,                 1.7117,                  1.501,                0.81917,                0.30233,                0.34536,                0.21392,                 1.3928,                 1.9529,                  1.701,             0.00048955,             0.00048955,             0.00048955
                      9,                 1.3238,                 1.6033,                 1.4623,                0.64065,                0.34965,                0.36202,                0.21293,                 1.4171,                 1.7666,                 1.6934,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.3172,                  1.551,                 1.4591,                0.55162,                0.36142,                0.37765,                0.23822,                 1.4015,                 1.7264,                 1.7063,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.3132,                 1.5378,                 1.4586,                0.57944,                0.39558,                0.41103,                0.25706,                 1.3892,                 1.6027,                  1.663,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.3072,                  1.498,                 1.4571,                0.72935,                0.35857,                0.41447,                0.25578,                 1.3908,                 1.5913,                 1.6807,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.2927,                  1.432,                 1.4371,                0.50436,                0.38833,                0.42078,                0.27195,                   1.35,                 1.6161,                 1.6186,             0.00046351,             0.00046351,             0.00046351
                     14,                 1.2914,                 1.4106,                 1.4331,                0.68213,                0.39579,                0.45281,                0.28848,                  1.338,                 1.4323,                 1.6157,              0.0004583,              0.0004583,              0.0004583
